2024-01-24 22:40:00,613 INFO    Thread-265:9908 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-01-24 22:40:00,614 INFO    Thread-265:9908 [wandb_setup.py:_flush():76] Configure stats pid to 9908
2024-01-24 22:40:00,614 INFO    Thread-265:9908 [wandb_setup.py:_flush():76] Loading settings from C:\Users\mich0003\.config\wandb\settings
2024-01-24 22:40:00,614 INFO    Thread-265:9908 [wandb_setup.py:_flush():76] Loading settings from C:\Users\mich0003\Repos\BachelorPP\proactive\wandb\settings
2024-01-24 22:40:00,614 INFO    Thread-265:9908 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'gmm_depend', 'entity': 'teammfeit', 'root_dir': 'C:\\Users\\mich0003\\Repos\\BachelorPP\\proactive', 'run_id': 'of28az5j', 'sweep_param_path': 'C:\\Users\\mich0003\\Repos\\BachelorPP\\proactive\\wandb\\sweep-6kkk2ize\\config-of28az5j.yaml', 'sweep_id': '6kkk2ize'}
2024-01-24 22:40:00,614 INFO    Thread-265:9908 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-24 22:40:00,614 INFO    Thread-265:9908 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'MainWAndB.py', 'program_abspath': 'C:\\Users\\mich0003\\Repos\\BachelorPP\\proactive\\MainWAndB.py', 'program': 'MainWAndB.py'}
2024-01-24 22:40:00,614 INFO    Thread-265:9908 [wandb_init.py:_log_setup():526] Logging user logs to C:\Users\mich0003\Repos\BachelorPP\proactive\wandb\run-20240124_224000-of28az5j\logs\debug.log
2024-01-24 22:40:00,614 INFO    Thread-265:9908 [wandb_init.py:_log_setup():527] Logging internal logs to C:\Users\mich0003\Repos\BachelorPP\proactive\wandb\run-20240124_224000-of28az5j\logs\debug-internal.log
2024-01-24 22:40:00,614 INFO    Thread-265:9908 [wandb_init.py:init():566] calling init triggers
2024-01-24 22:40:00,615 INFO    Thread-265:9908 [wandb_init.py:init():574] wandb.init called with sweep_config: {'batch_size': 4, 'd_k': 64, 'data': 'data/Breakfast/', 'device': 'cuda', 'dropout': 0.1, 'epochs': 50, 'learning_rate': 0.0001, 'n_head': 2, 'n_layers': 5, 'num_mix_components': 4, 'smooth': 0}
config: {}
2024-01-24 22:40:00,615 INFO    Thread-265:9908 [wandb_init.py:init():616] starting backend
2024-01-24 22:40:00,615 INFO    Thread-265:9908 [wandb_init.py:init():620] setting up manager
2024-01-24 22:40:00,622 INFO    Thread-265:9908 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=spawn, using: spawn
2024-01-24 22:40:00,622 INFO    Thread-265:9908 [wandb_init.py:init():628] backend started and connected
2024-01-24 22:40:00,637 INFO    Thread-265:9908 [wandb_run.py:_config_callback():1342] config_cb None None {'batch_size': 4, 'd_k': 64, 'data': 'data/Breakfast/', 'device': 'cuda', 'dropout': 0.1, 'epochs': 50, 'learning_rate': 0.0001, 'n_head': 2, 'n_layers': 5, 'num_mix_components': 4, 'smooth': 0}
2024-01-24 22:40:00,637 INFO    Thread-265:9908 [wandb_init.py:init():720] updated telemetry
2024-01-24 22:40:00,675 INFO    Thread-265:9908 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-01-24 22:40:01,024 INFO    Thread-265:9908 [wandb_run.py:_on_init():2254] communicating current version
2024-01-24 22:40:01,098 INFO    Thread-265:9908 [wandb_run.py:_on_init():2263] got version response 
2024-01-24 22:40:01,099 INFO    Thread-265:9908 [wandb_init.py:init():804] starting run threads in backend
2024-01-24 22:40:03,402 INFO    Thread-265:9908 [wandb_run.py:_console_start():2233] atexit reg
2024-01-24 22:40:03,402 INFO    Thread-265:9908 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-24 22:40:03,402 INFO    Thread-265:9908 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-24 22:40:03,402 INFO    Thread-265:9908 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-24 22:40:03,402 INFO    Thread-265:9908 [wandb_init.py:init():847] run started, returning control to user process
2024-01-24 22:48:59,150 INFO    Thread-265:9908 [wandb_run.py:_finish():1962] finishing run teammfeit/gmm_depend/of28az5j
2024-01-24 22:48:59,150 INFO    Thread-265:9908 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2024-01-24 22:48:59,150 INFO    Thread-265:9908 [wandb_run.py:_restore():2185] restore
2024-01-24 22:48:59,150 INFO    Thread-265:9908 [wandb_run.py:_restore():2191] restore done
2024-01-24 22:49:03,319 INFO    Thread-265:9908 [wandb_run.py:_footer_history_summary_info():3857] rendering history
2024-01-24 22:49:03,320 INFO    Thread-265:9908 [wandb_run.py:_footer_history_summary_info():3889] rendering summary
2024-01-24 22:49:03,325 INFO    Thread-265:9908 [wandb_run.py:_footer_sync_info():3816] logging synced files
